subid,ntrial,estim,correct,response_time,cumulative_response_time,fixation_onset,fixation_dur,stim_onset,stim_dur,response_onset,response_dur,id_distrac,dist_dur
7,1,8,1,NA,NA,0,12,34,20,55,180,6,20
7,2,2,1,0.883,5.142,0,12,34,20,55,180,nan,20
7,3,6,1,NA,NA,0,12,34,20,55,90,nan,20
7,4,6,1,NA,NA,0,12,34,20,55,180,nan,20
7,5,2,1,0.931,14.365,0,12,34,20,55,180,8,20
7,6,2,1,0.649,17.64,0,12,34,20,55,90,6,20
7,7,4,1,0.565,19.617,0,12,34,20,55,90,nan,20
7,8,1,1,0.615,21.729,0,12,34,20,55,90,nan,20
7,9,7,1,NA,NA,0,12,34,20,55,90,2,20
7,10,7,1,NA,NA,0,12,34,20,55,180,nan,20
7,11,1,1,0.533,29.326,0,12,34,20,55,90,6,20
7,12,4,1,0.666,31.519,0,12,34,20,55,180,2,20
7,13,7,1,NA,NA,0,12,34,20,55,90,3,20
7,14,7,1,NA,NA,0,12,34,20,55,90,nan,20
7,15,6,1,NA,NA,0,12,34,20,55,90,3,20
7,16,3,1,0.698,41.292,0,12,34,20,55,90,nan,20
7,17,1,1,0.649,43.303,0,12,34,20,55,180,nan,20
7,18,8,1,NA,NA,0,12,34,20,55,180,8,20
7,19,1,1,0.599,50.367,0,12,34,20,55,90,nan,20
7,20,4,1,0.65,52.479,0,12,34,20,55,180,6,20
7,21,6,1,NA,NA,0,12,34,20,55,90,4,20
7,22,3,1,0.698,58.146,0,12,34,20,55,90,2,20
7,23,3,1,0.667,60.175,0,12,34,20,55,180,nan,20
7,24,6,1,NA,NA,0,12,34,20,55,180,nan,20
7,25,7,1,NA,NA,0,12,34,20,55,90,7,20
7,26,1,1,0.549,69.232,0,12,34,20,55,180,nan,20
7,27,8,1,NA,NA,0,12,34,20,55,90,nan,20
7,28,8,1,NA,NA,0,12,34,20,55,180,nan,20
7,29,6,1,NA,NA,0,12,34,20,55,90,4,20
7,30,4,1,0.682,80.601,0,12,34,20,55,180,nan,20
