subid,ntrial,estim,correct,response_time,cumulative_response_time,fixation_onset,fixation_dur,stim_onset,stim_dur,response_onset,response_dur,id_distrac,dist_dur
9,1,7,1,NA,NA,0,12,34,20,55,180,4,20
9,2,2,1,0.367,4.502,0,12,34,20,55,180,7,20
9,3,2,1,0.367,8.068,0,12,34,20,55,180,4,20
9,4,6,1,NA,NA,0,12,34,20,55,180,7,20
9,5,7,1,NA,NA,0,12,34,20,55,180,7,20
9,6,1,1,0.601,19.0,0,12,34,20,55,180,nan,20
9,7,7,1,NA,NA,0,12,34,20,55,180,7,20
9,8,6,1,NA,NA,0,12,34,20,55,90,6,20
9,9,4,1,0.551,28.148,0,12,34,20,55,180,nan,20
9,10,3,1,0.367,31.531,0,12,34,20,55,90,1,20
9,11,2,1,0.401,33.632,0,12,34,20,55,90,nan,20
9,12,3,1,0.368,35.664,0,12,34,20,55,180,nan,20
9,13,7,1,NA,NA,0,12,34,20,55,180,nan,20
9,14,4,1,0.468,42.897,0,12,34,20,55,90,nan,20
9,15,8,1,NA,NA,0,12,34,20,55,90,nan,20
9,16,7,1,NA,NA,0,12,34,20,55,180,4,20
9,17,2,1,0.434,50.562,0,12,34,20,55,90,nan,20
9,18,7,1,NA,NA,0,12,34,20,55,90,nan,20
9,19,2,1,0.35,54.611,0,12,34,20,55,180,nan,20
9,20,6,0,0.452,58.278,0,12,34,20,55,90,nan,20
9,21,2,1,0.351,60.244,0,12,34,20,55,90,3,20
9,22,6,1,NA,NA,0,12,34,20,55,90,nan,20
9,23,7,1,NA,NA,0,12,34,20,55,180,2,20
9,24,8,1,NA,NA,0,12,34,20,55,90,nan,20
9,25,1,1,0.418,70.076,0,12,34,20,55,90,4,20
9,26,6,1,NA,NA,0,12,34,20,55,90,nan,20
9,27,4,1,0.484,74.276,0,12,34,20,55,180,8,20
9,28,7,1,NA,NA,0,12,34,20,55,180,nan,20
9,29,1,1,0.401,81.325,0,12,34,20,55,90,6,20
9,30,4,1,0.567,83.558,0,12,34,20,55,180,nan,20
